iter,loss_total,loss_pde,loss_ic,loss_bc
1,5.631317288341387e-05,2.6398594234270467e-05,1.8472053660632162e-06,0.00010711823262334893
2,5.308016982568715e-05,2.5934989495233406e-05,6.3471841739717484e-06,7.203791369141901e-05
3,4.969619538180326e-05,2.5831354956380715e-05,4.005753751676917e-06,7.181423753346458e-05
4,4.117148147441581e-05,2.5287191489955904e-05,1.8051132098550025e-06,5.2438004076552276e-05
5,3.640852206390135e-05,2.4502759538280026e-05,1.9995289690031184e-06,3.582083086491336e-05
6,3.0470362307532633e-05,2.248911923578942e-05,1.2823784679469275e-06,2.4325826016854256e-05
7,2.7143981679538224e-05,2.044411502001162e-05,6.677614270748116e-07,2.262228798942963e-05
8,2.5647999691118572e-05,1.9173339027300822e-05,8.225983293250092e-07,2.090681227281735e-05
9,2.376815497705739e-05,1.6939404199544208e-05,1.2890793206872743e-06,1.977949331755233e-05
10,2.1619836630152788e-05,1.5208945298793317e-05,1.4980689214050998e-06,1.7018343196503245e-05
11,1.9479260537995754e-05,1.3509889231961529e-05,1.1707709285293239e-06,1.7053698835589997e-05
12,1.7224879087864866e-05,1.1709062304961335e-05,9.032486448900297e-07,1.6719932898776882e-05
13,1.4659523086156948e-05,1.0023420451083031e-05,7.815514248642906e-07,1.3932815822007709e-05
14,1.4093998606937578e-05,9.49649732621753e-06,8.156615593022158e-07,1.3597992045941843e-05
15,1.2943839088396854e-05,8.947179314341088e-06,7.138597665090944e-07,1.1795051100672662e-05
16,1.210100611993456e-05,8.481353345852944e-06,6.866408915212587e-07,1.0466283018807982e-05
17,1.1023263421670913e-05,7.712742410922886e-06,5.975749049568847e-07,9.7363261748464e-06
18,1.0501447940052194e-05,7.338629245868421e-06,5.975612840041173e-07,9.158372289579728e-06
19,9.87351932721861e-06,6.786694738229308e-06,6.63985500749501e-07,8.503130292430595e-06
20,8.70202182286341e-06,5.81740258725897e-06,7.483121768131891e-07,7.257520961004172e-06
21,7.996113577106591e-06,5.006402507203897e-06,1.0615538452629668e-06,5.9812912420385595e-06
22,6.752541005182391e-06,4.293507875206216e-06,8.931102903449627e-07,4.811946674041156e-06
23,6.314963961569744e-06,4.100509087013048e-06,7.732356076169775e-07,4.500590766440211e-06
24,5.915296331400285e-06,3.874676603325999e-06,6.651352829745754e-07,4.402654175789744e-06
25,5.3594809692798715e-06,3.4829669227976116e-06,5.832179099584397e-07,4.201740084682495e-06
26,5.20992009623956e-06,3.253001242034979e-06,6.597274763150447e-07,4.104227122152855e-06
27,4.549708465011757e-06,2.80372558952928e-06,5.893599645163016e-07,3.657822816191226e-06
28,4.146175772834589e-06,2.5516691068405845e-06,5.529953446025849e-07,3.2609308623167246e-06
29,3.847777722939157e-06,2.369123189897836e-06,5.201178736263144e-07,2.98466629804173e-06
30,3.6892630307758076e-06,2.2614956932941998e-06,4.7228309621209837e-07,3.043217822211027e-06
31,3.4927950870792013e-06,2.1674865789814116e-06,4.458952639411833e-07,2.784406303180311e-06
32,3.2475787939574705e-06,2.0359017982736596e-06,3.993603040602243e-07,2.5904079805162432e-06
33,2.999782548747839e-06,1.8647737761584893e-06,3.865216682669018e-07,2.3595344606978333e-06
34,2.8811541151881613e-06,1.7471390594052823e-06,3.8821836343471627e-07,2.3465051145254196e-06
35,2.795965067154502e-06,1.7134983400447802e-06,3.8009876469487156e-07,2.18851482142955e-06
36,2.654749246161133e-06,1.6333460928659514e-06,3.743712170076946e-07,1.98040047607887e-06
37,2.57815879973265e-06,1.5229379329204534e-06,3.977468856948229e-07,1.9868148560490465e-06
38,2.483901974084505e-06,1.4541904179867305e-06,3.857327253867547e-07,1.9517081149403767e-06
39,2.4536059363045914e-06,1.4442727972882671e-06,3.7153930337862046e-07,1.948421093626129e-06
40,2.3626425099071096e-06,1.387552629935835e-06,3.539528696093516e-07,1.9091534620081927e-06
41,2.2710865086876484e-06,1.2950148236373143e-06,3.132463501886108e-07,2.1322907895587036e-06
42,2.129985142439492e-06,1.2395589485729747e-06,3.231664178958819e-07,1.7436788842721555e-06
43,2.045739316142766e-06,1.1960615047605147e-06,3.2498683490915684e-07,1.574404684918219e-06
44,1.9701626493140207e-06,1.153235014283423e-06,3.193766154109705e-07,1.4764616449759187e-06
45,1.8814952670051637e-06,1.0974064593824175e-06,3.0664022943045355e-07,1.4165619159890983e-06
46,1.8038042309886233e-06,1.0395697956783232e-06,3.081617751635386e-07,1.3306656978762122e-06
47,1.733035578647814e-06,9.865283059745115e-07,3.0528809009629934e-07,1.276772317638083e-06
48,1.6753440512891422e-06,9.311207129884642e-07,3.079838276668085e-07,1.2533116916914174e-06
49,1.6626418949306714e-06,9.160981182948678e-07,3.053705988620272e-07,1.2764706814062798e-06
50,1.6166277487160295e-06,8.689318766708637e-07,3.0763201923816065e-07,1.2687965875136302e-06
51,1.4996518036471831e-06,7.848224964928243e-07,2.956413046103692e-07,1.2047712115830417e-06
52,1.3525814065957414e-06,7.022263848904543e-07,2.7859395399438666e-07,1.0442914745075664e-06
53,1.274587324327916e-06,6.660288820982279e-07,2.6957265843681595e-07,9.293219134227123e-07
54,1.2492996018489697e-06,6.505315751596761e-07,2.6776309774652446e-07,9.007560092544975e-07
55,1.2102997590163562e-06,6.24012012347361e-07,2.6323910691331376e-07,8.762866639466109e-07
56,1.1886833754056611e-06,6.02473206075669e-07,2.6203115459766806e-07,8.824905757754515e-07
57,1.1393896373418911e-06,5.54003860213041e-07,2.6044711640082446e-07,8.877979149904895e-07
58,1.1183515267346133e-06,5.043432673928803e-07,2.848281927221975e-07,8.684646050657621e-07
59,1.0577929669313324e-06,4.940630405077246e-07,2.5493726574599823e-07,8.327313771768716e-07
60,1.0172719631253838e-06,4.793896961526365e-07,2.4490768446843426e-07,7.85609152935874e-07
61,9.963524349243433e-07,4.6937657070811683e-07,2.3912257716979037e-07,7.740930298338774e-07
62,9.872950464834143e-07,4.50499849817838e-07,2.456134054595999e-07,7.775530697158685e-07
63,9.724104957719111e-07,4.525531762409816e-07,2.3730499418695505e-07,7.560266060885997e-07
64,9.634675943881394e-07,4.49895414928764e-07,2.351719045935626e-07,7.429213831135488e-07
65,9.500317434555422e-07,4.4211037068698686e-07,2.3526268134138984e-07,7.203181366449697e-07
66,9.357619745668577e-07,4.331436162630624e-07,2.3551432741358368e-07,6.982093226888966e-07
67,9.228866212958157e-07,4.1667691331423103e-07,2.382358033527997e-07,6.976027337754425e-07
68,9.026661968395334e-07,4.111236902346001e-07,2.3475815454294303e-07,6.58938079753857e-07
69,8.883428324224214e-07,4.0470384413042543e-07,2.3055148012211873e-07,6.506702590974321e-07
70,8.700418205178825e-07,3.928118841034134e-07,2.2837481353166775e-07,6.37314871067732e-07
71,8.621219475491169e-07,3.785239346789845e-07,2.3572359367856848e-07,6.226465775818427e-07
72,8.44295735027981e-07,3.740769973260311e-07,2.288311274487971e-07,6.07418553383966e-07
73,8.292324658447454e-07,3.685039761299979e-07,2.2551913540933255e-07,5.881212750047188e-07
74,8.163533730306536e-07,3.593055450908125e-07,2.2481247148320286e-07,5.775241041766137e-07
75,8.119351123900659e-07,3.579223130714438e-07,2.2478766171903402e-07,5.657802935673036e-07
76,8.046171786888527e-07,3.52104049996206e-07,2.2456312082810593e-07,5.611210426777526e-07
77,7.939831709301446e-07,3.4424023192169663e-07,2.2500335360759442e-07,5.479083813463254e-07
78,7.782504417950651e-07,3.323715399656249e-07,2.2616599857980033e-07,5.265231953207652e-07
79,7.592522175569097e-07,3.1775658807359554e-07,2.2439153809561825e-07,5.189288428747892e-07
80,7.45908111926403e-07,3.01225195973813e-07,2.2214078331179485e-07,5.435274808572318e-07
81,7.180069473593523e-07,2.9106822022935606e-07,2.1272096058132771e-07,5.248329684931369e-07
82,6.987516776982655e-07,2.836828233685993e-07,2.0714245737480925e-07,5.084333207073901e-07
83,6.822663406753851e-07,2.757817526418093e-07,2.064478674883726e-07,4.785810389946572e-07
84,6.600110458509506e-07,2.653551370347504e-07,2.0441037729300453e-07,4.432663762224215e-07
85,6.509178528988845e-07,2.630088151914427e-07,2.0107381969925261e-07,4.34837536533611e-07
86,6.296407104624395e-07,2.583221694338918e-07,1.9346310463442617e-07,4.1091188818201837e-07
87,6.24034174959365e-07,2.531722707584896e-07,1.9454026371454283e-07,4.03321962257041e-07
88,6.184362094494321e-07,2.540234699022933e-07,1.9116049330261352e-07,3.9629098224761915e-07
89,6.146894805236512e-07,2.5295123322615777e-07,1.8998148662784978e-07,3.921760320933686e-07
90,6.06955367440066e-07,2.481887593428132e-07,1.8883819804220492e-07,3.867057876304784e-07
91,5.956632011587665e-07,2.3953829201826514e-07,1.8734922782294417e-07,3.843890152885777e-07
92,5.83401862219379e-07,2.2914675071100501e-07,1.8630466904458357e-07,3.826989054715909e-07
93,5.782888112294e-07,2.2524274099551045e-07,1.8579204098381454e-07,3.8072901087491743e-07
94,5.707075980111409e-07,2.203141792617388e-07,1.8555142052573107e-07,3.716442384961951e-07
95,5.644954402315776e-07,2.1712890753888638e-07,1.8471702428078643e-07,3.6429371588728265e-07
96,5.567608037335383e-07,2.136666848972572e-07,1.8248658117202757e-07,3.5958968361470565e-07
97,5.527770326151795e-07,2.0857990728540025e-07,1.8144815475639367e-07,3.6950049058120563e-07
98,5.426888853681164e-07,2.0702900017988787e-07,1.7748119283440758e-07,3.5746123969191805e-07
99,5.392349524781308e-07,2.0612888251356929e-07,1.7657698875625676e-07,3.52338131686739e-07
100,5.358276434866936e-07,2.035742022464026e-07,1.762706767473899e-07,3.5065157327872394e-07
101,5.33069996849068e-07,2.012933046312065e-07,1.7596403028935948e-07,3.504378071991756e-07
102,5.289791142983199e-07,1.9862498019019e-07,1.7464160183870197e-07,3.519948975492971e-07
103,5.179719875072757e-07,1.913965882748507e-07,1.7211974463889007e-07,3.5079277125114826e-07
104,5.126854999264287e-07,1.886726744428711e-07,1.7181717479424935e-07,3.423942497035858e-07
105,5.064068076033384e-07,1.8671329964188168e-07,1.7170388009679435e-07,3.261011125017796e-07
106,5.052437508757691e-07,1.8501987029176257e-07,1.7212717602294858e-07,3.2589631582939126e-07
107,4.977129706627577e-07,1.8425451134850734e-07,1.6919836644978072e-07,3.15198251554282e-07
108,4.947734591636166e-07,1.8330121448812247e-07,1.681614683059741e-07,3.1301127877335606e-07
109,4.913429587861065e-07,1.814494892113673e-07,1.6748864333820935e-07,3.104574616042597e-07
110,4.8603870998995e-07,1.7781486036381206e-07,1.673832663247172e-07,3.0449115835343393e-07
111,4.818065995209619e-07,1.7373802110267526e-07,1.6693309556186165e-07,3.0630868052703986e-07
112,4.7659778084794246e-07,1.7059900887833863e-07,1.6604291290638682e-07,3.030041854937781e-07
113,4.737007958521687e-07,1.6675349432334803e-07,1.6600231686944826e-07,3.0693491886607976e-07
114,4.702013434377688e-07,1.6657260642432371e-07,1.6347720626925135e-07,3.075511781454131e-07
115,4.675081502287755e-07,1.6605538036012838e-07,1.6218315911992696e-07,3.060069351933015e-07
116,4.619015291310755e-07,1.6347904551854826e-07,1.6088026515363682e-07,3.011670074362601e-07
117,4.5446589730266855e-07,1.5908233122941141e-07,1.6007229647196294e-07,2.936270289290946e-07
118,4.446521808771431e-07,1.535721215818571e-07,1.5830050008674819e-07,2.863304838345079e-07
119,4.3592130013712553e-07,1.4922670248932553e-07,1.564801479206083e-07,2.789747923380728e-07
120,4.319795948789154e-07,1.441184517489676e-07,1.5824771454588594e-07,2.7401774821157025e-07
121,4.253244001499701e-07,1.4385511576831892e-07,1.5424092024248228e-07,2.7058894975975916e-07
122,4.217829333722151e-07,1.4219022223641266e-07,1.5340434896156938e-07,2.677518489455475e-07
123,4.180466328950064e-07,1.3931601242239825e-07,1.5319576597981522e-07,2.65501773607957e-07
124,4.1744832965769747e-07,1.3524018661011929e-07,1.557894880275344e-07,2.6513796538082695e-07
125,4.12546041653851e-07,1.3466611083874041e-07,1.5342412416425754e-07,2.609424164418433e-07
126,4.109935180449397e-07,1.3460160384458216e-07,1.5230668690959789e-07,2.6113900432690703e-07
127,4.0693855791623154e-07,1.32521495837303e-07,1.5121481992521345e-07,2.592926276821285e-07
128,4.037367863517986e-07,1.2960981299490628e-07,1.5114185707322012e-07,2.5855044387213007e-07
129,4.002892795722833e-07,1.2748073323569098e-07,1.505204776501197e-07,2.567383401894608e-07
130,3.9551206256405654e-07,1.2399452225667534e-07,1.4982768849196038e-07,2.5541824760905093e-07
131,3.910080606931988e-07,1.2051775690445115e-07,1.4944744491169563e-07,2.534466542115131e-07
132,3.851413166839001e-07,1.1466857395847454e-07,1.5131678810822874e-07,2.433073622078958e-07
133,3.789869578490382e-07,1.1144435148554663e-07,1.497271684780807e-07,2.404040220693355e-07
134,3.7519340442555335e-07,1.1037951917144015e-07,1.4838593782667848e-07,2.3695078601839407e-07
135,3.705407497631205e-07,1.0881683340993977e-07,1.4724678952313718e-07,2.3099515825926366e-07
136,3.67018439490975e-07,1.0534690516962065e-07,1.467726598270573e-07,2.33344405317532e-07
137,3.6275518552449715e-07,1.0429662293475567e-07,1.456043042192463e-07,2.2706475701287122e-07
138,3.5803755395927557e-07,1.0252166685859933e-07,1.4438721022134062e-07,2.2210546707301412e-07
139,3.5601021671178557e-07,1.0135277210383384e-07,1.4407953535963482e-07,2.2040349869982839e-07
140,3.546695405089766e-07,9.637624148997968e-08,1.4643777374452677e-07,2.2192791880146405e-07
141,3.500766171212121e-07,9.616713604260256e-08,1.4404641168495505e-07,2.176548171542031e-07
142,3.4793913297670454e-07,9.569404358577005e-08,1.4297708501128294e-07,2.1690198566177606e-07
143,3.43450978454472e-07,9.3361971479742e-08,1.412732972407021e-07,2.1764292465717657e-07
144,3.42005373066904e-07,9.243040286071268e-08,1.4076071930757353e-07,2.1839263308240432e-07
145,3.3897674014225406e-07,9.081839355445945e-08,1.3948513409964402e-07,2.197205928686561e-07
146,3.362802186595953e-07,8.938517166478582e-08,1.3851526688753052e-07,2.200016094351489e-07
147,3.335186485273077e-07,8.799620317819441e-08,1.377076709537617e-07,2.1898068521554356e-07
148,3.3121017913293285e-07,8.646625062036859e-08,1.3746840446717806e-07,2.17222971657465e-07
149,3.287217019926677e-07,8.542409904171444e-08,1.3679579587884001e-07,2.15186324918157e-07
150,3.2626337484428276e-07,8.516803046135067e-08,1.3601758184163458e-07,2.107602838296159e-07
151,3.222158410229778e-07,8.452350639243433e-08,1.3486399665223175e-07,2.0365735760239247e-07
152,3.2042372338425217e-07,8.394846777565423e-08,1.3420676990328492e-07,2.0243499288013894e-07
153,3.175275210166324e-07,8.161196293625815e-08,1.3270891252065111e-07,2.0831392918119268e-07
154,3.124022219592294e-07,8.055538515357715e-08,1.304316167730678e-07,2.0465944547877498e-07
155,3.1103363230310094e-07,7.978752670640331e-08,1.301535826808571e-07,2.038063387632038e-07
156,3.073051931196041e-07,7.759637492895614e-08,1.2949051252381394e-07,2.013623307373787e-07
157,3.052814810668319e-07,7.667835193963943e-08,1.2930003575280354e-07,1.9806140036268512e-07
158,3.0061501788934905e-07,7.42804631835517e-08,1.2891397704035237e-07,1.9126320683034154e-07
159,2.9671203391489795e-07,7.299342516550675e-08,1.27846840324643e-07,1.8677470697011342e-07
160,2.941461443523842e-07,7.345437454645528e-08,1.2568702397595042e-07,1.8656470155584092e-07
161,2.923904574063257e-07,7.224892277747142e-08,1.262025917440165e-07,1.816338994084199e-07
162,2.9015544982676684e-07,7.168437606899188e-08,1.2516126184762064e-07,1.8070649153853398e-07
163,2.877189326495099e-07,7.028456831073501e-08,1.2476916962948045e-07,1.7876165756117814e-07
164,2.862776905269172e-07,6.914599373415802e-08,1.247450225313574e-07,1.7770726569260299e-07
165,2.8445459935118075e-07,6.76449228831455e-08,1.2480924653932375e-07,1.7610106267947975e-07
166,2.815567902004227e-07,6.707978414002124e-08,1.235217094220175e-07,1.7390849662021232e-07
167,2.7848891170918804e-07,6.657570856535963e-08,1.2236816061318957e-07,1.700895776761171e-07
168,2.7501943371825074e-07,6.548119419477117e-08,1.2154857261130946e-07,1.652105528380015e-07
169,2.711607667680044e-07,6.449072092591753e-08,1.2003213854675296e-07,1.6215535605234593e-07
170,2.675821784914664e-07,6.164375425900044e-08,1.2000627839311037e-07,1.5943149777025732e-07
171,2.6355313969320923e-07,6.112157185071381e-08,1.1830504091762171e-07,1.54872496411518e-07
172,2.609963782555627e-07,5.990290848097252e-08,1.1767071829509276e-07,1.5305313874339938e-07
173,2.5746256557070557e-07,5.810498363836824e-08,1.1689868031280658e-07,1.5041894954859062e-07
174,2.5656488028562383e-07,5.76032166956055e-08,1.1659635787904369e-07,1.5049821670790317e-07
175,2.538352589963785e-07,5.63517488028801e-08,1.1572341160463797e-07,1.4941627663790495e-07
176,2.525351659396184e-07,5.571186246088446e-08,1.1533300659529747e-07,1.4893578196364488e-07
177,2.512607546415226e-07,5.5251721611668734e-08,1.1493433166243284e-07,1.4789691678206383e-07
178,2.4921063149184123e-07,5.440978753538679e-08,1.1432067651983478e-07,1.4647461259530626e-07
179,2.44229744966931e-07,5.206751261165319e-08,1.1266086800646939e-07,1.4509026637710348e-07
180,2.413771717808761e-07,5.117543687829406e-08,1.1171472339214027e-07,1.4251502735918765e-07
181,2.388817351688426e-07,5.038860141336578e-08,1.1074309931554291e-07,1.4106283825323804e-07
182,2.3702709723341491e-07,4.951510151995011e-08,1.0937872037119515e-07,1.4457340548715284e-07
183,2.34021738822405e-07,4.852812837320339e-08,1.0860137224199524e-07,1.408622805739007e-07
184,2.3060089577266785e-07,4.729171053042056e-08,1.0741240172471842e-07,1.38718866143258e-07
185,2.274177312830071e-07,4.635494864660255e-08,1.0659181808742526e-07,1.3434832353862437e-07
186,2.2650507780369429e-07,4.621885775847038e-08,1.063705149000158e-07,1.3250148555673394e-07
187,2.246226197087779e-07,4.6285346184819484e-08,1.0580873152544963e-07,1.279008111941641e-07
188,2.2292310367226926e-07,4.648794621357647e-08,1.0487731607239233e-07,1.2547469619565205e-07
189,2.2045820792120912e-07,4.668407712523813e-08,1.0308489634898323e-07,1.2471703558281252e-07
190,2.1797565933841724e-07,4.6425766634830686e-08,1.0169711253736809e-07,1.234888663999921e-07
191,2.1554180336847078e-07,4.570734513434813e-08,1.0108968927772798e-07,1.200479045685833e-07
192,2.1274193786665404e-07,4.5149653025411587e-08,1.0024768283384161e-07,1.1580932224687799e-07
193,2.118611793114644e-07,4.467285101740996e-08,9.999536872950703e-08,1.155877262139796e-07
194,2.095629856453335e-07,4.371826132363786e-08,9.917480744421383e-08,1.1475013049144681e-07
195,2.0834540194242924e-07,4.2011818354591266e-08,9.789899162003483e-08,1.23536365728138e-07
196,2.0379885956987874e-07,4.1869821215805773e-08,9.65514036179342e-08,1.1355910568458172e-07
197,2.0259437638980198e-07,4.200940701637157e-08,9.555188138571241e-08,1.1368379258502689e-07
198,2.0187797887237731e-07,4.253885601825432e-08,9.397348178850659e-08,1.173114103472482e-07
199,2.0085832001429692e-07,4.2373143358680854e-08,9.338452599684714e-08,1.1714236096157365e-07
200,2.0036233935086912e-07,4.218047645372717e-08,9.345400806785742e-08,1.1558103901223985e-07
201,1.9783501494646614e-07,4.183618199903884e-08,9.245363530213714e-08,1.124270668423176e-07
202,1.9568590892588373e-07,4.087833457835775e-08,9.193292352938928e-08,1.1057031280409122e-07
203,1.9476804798612889e-07,4.0717079564169804e-08,9.141163116368251e-08,1.1041768286493222e-07
204,1.9252209735283448e-07,4.027275293414648e-08,9.011700794612284e-08,1.1034152062799797e-07
205,1.9047263111695034e-07,4.0042855774574374e-08,8.858913246967014e-08,1.1145171283103236e-07
206,1.8893038989131723e-07,3.9720300833673706e-08,8.747828867928094e-08,1.1266288055574316e-07
207,1.8715282150423577e-07,3.940766537435342e-08,8.639709561032732e-08,1.1275455006333308e-07
208,1.8618391080109018e-07,3.841355234686091e-08,8.587495289611567e-08,1.1566607728319379e-07
209,1.8439560618084874e-07,3.846114077623064e-08,8.540364789639557e-08,1.1102040615562666e-07
210,1.8348218302086732e-07,3.831645120439215e-08,8.500764431046106e-08,1.1014535656542956e-07
211,1.8244257838839898e-07,3.792938453848028e-08,8.452655739914628e-08,1.1018339680858867e-07
212,1.8089924667131252e-07,3.76710433653169e-08,8.353674901626504e-08,1.104869542042648e-07
213,1.789117072182915e-07,3.763373162389017e-08,8.220920334565312e-08,1.1000659771662996e-07
214,1.7690431385749836e-07,3.78924405095297e-08,8.080633775114274e-08,1.0869584371516167e-07
215,1.7583030595944875e-07,3.8430344968469094e-08,7.97529484728178e-08,1.0806252974726886e-07
216,1.7486584904049101e-07,3.849471151270221e-08,7.88971050084759e-08,1.086468882337254e-07
217,1.742473184515524e-07,3.8120689412848806e-08,7.880604710894868e-08,1.081805629351658e-07
218,1.730733251364352e-07,3.7283957744980076e-08,7.875512968671678e-08,1.0713500608711821e-07
219,1.721834862855355e-07,3.671648768844403e-08,7.863429799288623e-08,1.0652437556612153e-07
220,1.696740104126782e-07,3.4996268302373144e-08,7.833251739941815e-08,1.0506141019943819e-07
221,1.6842816507390073e-07,3.387750826010335e-08,7.818941942353765e-08,1.05334967455515e-07
222,1.6716061334289553e-07,3.3603208915365835e-08,7.765868541578538e-08,1.0430709503252025e-07
223,1.6527833412030282e-07,3.3258119204001494e-08,7.69065166579312e-08,1.023434640887646e-07
224,1.6456186213106243e-07,3.2835510146773465e-08,7.691934136911296e-08,1.0112435337647913e-07
225,1.635651823803773e-07,3.253342704415022e-08,7.659684011066156e-08,1.0014346243230794e-07
226,1.6151485631007807e-07,3.181136420487497e-08,7.59823130572534e-08,9.825594988276861e-08
227,1.6067133778777897e-07,3.157434827968855e-08,7.566895141339879e-08,9.757057444050397e-08
228,1.6037927621937812e-07,3.080564058884235e-08,7.613790230734964e-08,9.690956773871771e-08
229,1.5884950551560801e-07,3.0833949877472675e-08,7.524424119035322e-08,9.56264335112512e-08
